Backbone,Image Size,Progressive,Bias-Softmax,5-Fold Accuracy,Validation Accuracy,Test Accuracy,Train Time (s),Val Time (s),Test Time (s),Test Loss,Test Acc
EFFNET-B5,640×640,Yes,Yes,99.74%,96.69%,95.75%,13017.4,486.4,82.3,0.1433,
EFFNET-B0,512×512,No,No,96.96%,96.74%,96.46%,4060.5,282.5,20.4,0.1192,0.9646
EFFNET-B0,512×512,No,Yes,97.10%,96.64%,96.46%,4051.0,279.3,20.8,0.0999,0.9646
EFFNET-B0,640×640,Yes,No,97.32%,96.55%,73.21%,4605.6,297.0,30.4,0.749,0.7321
EFFNET-B5,512×512,No,Yes,95.35%,96.41%,95.90%,10512.6,401.5,55.0,0.1011,0.959
EFFNET-B0,640×640,Yes,Yes,97.48%,96.55%,95.05%,4471.6,273.1,29.8,0.1878,0.9505
EFFNET-B5,512×512,No,No,98.86%,96.78%,96.08%,15390.9,581.9,57.5,0.1139,0.9608
EFFNET-B5,640×640,Yes,No,99.41%,96.74%,96.89%,11562.3,443.6,55.2,0.1231,0.9689
